play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
116	3_2_29a_425_Ro_Mi.wav	0	1	2	3200	5371	240	90	196	222	199	25	35	80	90
117	1_2_34d_425_Ja_Ro.wav	0	0	3	2360	4589	230	93	96	212	98	35	45	70	80
118	1_2_35d_425_Ja_Ro.wav	0	1	3	2351	4589	240	93	196	222	198	35	45	70	80
119	1_1_21d_425_Ja_Ko.wav	0	0	10	2425	4645	231	86	96	211	98	5	15	40	50
120	1_1_19d_425_Ja_Ko.wav	0	1	10	2513	4706	241	86	196	221	198	5	15	40	50
121	1_3_52d_425_Ja_Ro.wav	0	0	11	2591	4861	231	94	96	213	98	5	15	40	50
122	1_3_54d_425_Ja_Ro.wav	0	1	11	2548	4807	241	94	196	223	198	5	15	40	50
123	1_2_16d_425_Mi_Ko.wav	0	0	6	2316	4509	231	84	96	212	98	5	15	30	40
124	1_2_17d_425_Mi_Ko.wav	0	1	6	2385	4528	241	84	196	222	198	5	15	30	40
125	3_3_37a_425_Ar_Mi.wav	0	0	24	3412	5609	233	79	96	213	99	15	25	40	50
126	3_3_38a_425_Ar_Mi.wav	0	1	24	3482	5653	243	79	196	223	199	15	25	40	50
127	1_2_22c_525_Ja_Ko.wav	0	0	1	2806	5471	230	87	97	212	98	5	15	30	40
128	1_2_23c_525_Ja_Ko.wav	0	1	1	2847	5400	240	87	197	222	198	5	15	30	40
129	3_2_28a_425_Ro_Mi.wav	0	0	2	3120	5375	230	90	96	212	99	25	35	80	90
130	3_2_29a_425_Ro_Mi.wav	0	1	2	3200	5371	240	90	196	222	199	25	35	80	90
131	1_2_34d_425_Ja_Ro.wav	0	0	3	2360	4589	230	93	96	212	98	35	45	70	80
132	1_2_35d_425_Ja_Ro.wav	0	1	3	2351	4589	240	93	196	222	198	35	45	70	80
133	1_1_21d_425_Ja_Ko.wav	0	0	10	2425	4645	231	86	96	211	98	5	15	40	50
134	1_1_19d_425_Ja_Ko.wav	0	1	10	2513	4706	241	86	196	221	198	5	15	40	50
135	1_3_52d_425_Ja_Ro.wav	0	0	11	2591	4861	231	94	96	213	98	5	15	40	50
136	1_3_54d_425_Ja_Ro.wav	0	1	11	2548	4807	241	94	196	223	198	5	15	40	50
137	1_2_16d_425_Mi_Ko.wav	0	0	6	2316	4509	231	84	96	212	98	5	15	30	40
138	1_2_17d_425_Mi_Ko.wav	0	1	6	2385	4528	241	84	196	222	198	5	15	30	40
139	3_3_37a_425_Ar_Mi.wav	0	0	24	3412	5609	233	79	96	213	99	15	25	40	50
140	3_3_38a_425_Ar_Mi.wav	0	1	24	3482	5653	243	79	196	223	199	15	25	40	50
141	1_2_22c_525_Ja_Ko.wav	0	0	1	2806	5471	230	87	97	212	98	5	15	30	40
142	1_2_23c_525_Ja_Ko.wav	0	1	1	2847	5400	240	87	197	222	198	5	15	30	40
143	3_2_28a_425_Ro_Mi.wav	0	0	2	3120	5375	230	90	96	212	99	25	35	80	90
144	3_2_29a_425_Ro_Mi.wav	0	1	2	3200	5371	240	90	196	222	199	25	35	80	90
145	1_2_34d_425_Ja_Ro.wav	0	0	3	2360	4589	230	93	96	212	98	35	45	70	80
146	1_2_35d_425_Ja_Ro.wav	0	1	3	2351	4589	240	93	196	222	198	35	45	70	80
147	1_1_21d_425_Ja_Ko.wav	0	0	10	2425	4645	231	86	96	211	98	5	15	40	50
148	1_1_19d_425_Ja_Ko.wav	0	1	10	2513	4706	241	86	196	221	198	5	15	40	50
149	1_3_52d_425_Ja_Ro.wav	0	0	11	2591	4861	231	94	96	213	98	5	15	40	50
150	1_3_54d_425_Ja_Ro.wav	0	1	11	2548	4807	241	94	196	223	198	5	15	40	50
151	1_2_16d_425_Mi_Ko.wav	0	0	6	2316	4509	231	84	96	212	98	5	15	30	40
152	1_2_17d_425_Mi_Ko.wav	0	1	6	2385	4528	241	84	196	222	198	5	15	30	40
